(sec),(mm),(kgf)
76.5,5.1001,3.98376
76.60001,5.10664,3.97356
76.70001,5.11328,3.96888
76.8,5.12003,3.96033
76.9,5.12662,3.95712
77,5.13326,3.95504
77.10001,5.14007,3.97249
77.20001,5.14666,3.96094
77.3,5.15335,3.98317
77.4,5.1601,3.97627
77.5,5.16669,3.97109
77.60001,5.17328,3.97058
77.70001,5.17998,3.98891
77.8,5.18668,4.00126
77.9,5.19332,3.99164
78,5.20007,4.00616
78.10001,5.20666,4.00301
78.20001,5.21335,3.9926
78.3,5.22,4.00794
78.4,5.22659,4.01318
78.5,5.23334,3.9975
78.60001,5.23998,3.9905
78.70001,5.24662,3.99072
78.8,5.25343,4.0125
78.9,5.26001,4.01372
79,5.2666,4.01018
79.10001,5.27341,4.01471
79.20001,5.27994,4.02256
79.3,5.28659,4.01539
79.4,5.2935,4.02229
79.5,5.30003,4.03601
79.60001,5.30662,4.01764
79.70001,5.31343,4.01862
79.8,5.31996,4.02108
79.9,5.3266,4.03755
80,5.33335,4.03373
80.10001,5.34,4.01623
80.20001,5.34664,4.04079
80.3,5.35339,4.04923
80.4,5.35998,4.04941
80.50001,5.36667,4.04181
80.60001,5.37337,4.05586
80.70001,5.37996,4.04522
80.8,5.38666,4.05097
80.9,5.3933,4.0441
81.00001,5.4,4.05945
81.10001,5.40675,4.05302
81.20001,5.41328,4.08012
81.3,5.41998,4.07468
81.4,5.42678,4.08082
81.50001,5.43332,4.07666
81.60001,5.43985,4.06048
81.70001,5.44676,4.04166
81.8,5.45335,4.07366
81.9,5.45994,4.06496
82.00001,5.4668,4.0675
82.10001,5.47334,4.07077
82.20001,5.47998,4.07643
82.3,5.48673,4.0852
82.4,5.49326,4.0821
82.50001,5.49991,4.08557
82.60001,5.50676,4.07623
82.70001,5.51335,4.11285
82.8,5.52,4.07023
82.9,5.52669,4.09435
83.00001,5.53334,4.09331
83.10001,5.54003,4.06496
83.20001,5.54657,4.10592
83.3,5.55326,4.0956
83.4,5.56012,4.098
83.50001,5.56666,4.119
83.60001,5.57325,4.09898
83.70001,5.5801,4.11234
83.8,5.58664,4.10613
83.9,5.59328,4.12219
84.00001,5.60009,4.12789
84.10001,5.60662,4.09083
84.20001,5.61332,4.11876
84.3,5.62012,4.12784
84.4,5.62666,4.0986
84.50001,5.63325,4.12314
84.60001,5.64016,4.11282
84.70001,5.64669,4.13458
84.8,5.65323,4.12637
84.9,5.66003,4.13832
85.00001,5.66673,4.12319
